number,latency,packet size,segment size,header size,trans speed
335,0.904083251953125,4549,4400,149,40.25293016033755
336,0.8025169372558594,4548,4400,148,45.33736088413547
337,0.8885860443115234,4549,4400,149,40.95495335873357
338,0.8718967437744141,4549,4400,149,41.738887385288486
339,0.8566379547119141,4549,4400,149,42.48235768661286
340,0.9360313415527344,4549,4400,149,38.87904003260316
341,0.8664131164550781,4549,4400,149,42.0030575586131
342,0.8397102355957031,4550,4400,150,43.34828665530949
343,0.8141994476318359,4549,4400,149,44.69666505651538
344,0.7500648498535156,4548,4400,148,48.507805701207886
345,0.8027553558349609,4550,4400,150,45.34382702702703
346,0.8192062377929688,4549,4400,149,44.423489862630966
347,0.8594989776611328,4549,4400,149,42.340946232454925
348,0.8170604705810547,4550,4400,150,44.54994619200467
349,0.8068084716796875,4550,4400,150,45.116035933806145
350,0.9109973907470703,4549,4400,149,39.947425063595915
351,0.9658336639404297,4548,4400,148,37.67108287731424
352,1.0137557983398438,4548,4400,148,35.89030026716839
353,0.8368492126464844,4549,4400,149,43.486926258689465
354,1.0056495666503906,4550,4400,150,36.195511047889994
355,0.9057521820068359,4549,4400,149,40.17876050750198
356,0.9319782257080078,4548,4400,148,39.03953868917881
357,0.9398460388183594,4550,4400,150,38.72974774226281
358,1.0073184967041016,4550,4400,150,36.13554215384615
359,0.8606910705566406,4549,4400,149,42.28230226260388
360,0.9608268737792969,4548,4400,148,37.867383805459056
361,0.8957386016845703,4550,4400,150,40.63685536332179
362,0.8919239044189453,4550,4400,150,40.81065640203154
363,1.020669937133789,4549,4400,149,35.655013120298996
364,1.0313987731933594,4549,4400,149,35.28412186037911
365,1.2285709381103516,4550,4400,150,29.627918804579856
366,1.0445117950439453,4550,4400,150,34.84881661721068
367,0.9937286376953125,4550,4400,150,36.62971823416507
368,0.9596347808837891,4548,4400,148,37.91442403378882
369,0.873565673828125,4548,4400,148,41.64998819213974
370,1.0139942169189453,4550,4400,150,35.89764063014343
371,1.0809898376464844,4549,4400,149,33.66544136921041
372,0.7932186126708984,4549,4400,149,45.87890326660656
373,0.858306884765625,4548,4400,148,42.39043242666666
374,0.8804798126220703,4550,4400,150,41.341095477931226
375,1.1327266693115234,4550,4400,150,32.13484857924647
376,1.1227130889892578,4550,4400,150,32.421462221278404
377,0.9584426879882812,4550,4400,150,37.97827502487562
378,0.9481906890869141,4549,4400,149,38.38046546844355
379,0.8099079132080078,4549,4400,149,44.933503434795405
380,0.9057521820068359,4548,4400,148,40.169928069491974
381,0.6520748138427734,4548,4400,148,55.79727851407678
382,0.8547306060791016,4549,4400,149,42.57715792691771
383,1.0275840759277344,4550,4400,150,35.42289225058004
384,0.7226467132568359,4549,4400,149,50.35932404091059
385,0.9505748748779297,4549,4400,149,38.28420144670178
386,0.7796287536621094,4549,4400,149,46.67862726850153
387,0.7901191711425781,4549,4400,149,46.05887482438141
388,0.8628368377685547,4549,4400,149,42.17715146946671
389,0.7958412170410156,4548,4400,148,45.71766229358897
390,0.7998943328857422,4549,4400,149,45.496009290014904
391,0.8833408355712891,4548,4400,148,41.18908413927125
